Date;rubusd
15.05.2018;62.457
14.05.2018;61.7603
11.05.2018;61.8776
10.05.2018;61.7671
08.05.2018;63.4934
07.05.2018;62.7155
04.05.2018;62.9013
03.05.2018;63.4965
02.05.2018;63.9273
30.04.2018;62.98
28.04.2018;62.1687
27.04.2018;62.1204
26.04.2018;62.7936
25.04.2018;62.402
24.04.2018;61.5332
23.04.2018;61.9492
20.04.2018;61.3839
19.04.2018;60.9117
18.04.2018;61.1594
17.04.2018;61.5503
16.04.2018;62.2309
13.04.2018;62.0383
12.04.2018;61.8805
11.04.2018;63.7339
10.04.2018;62.7784
09.04.2018;60.1535
06.04.2018;58.1197
05.04.2018;57.7093
04.04.2018;57.5392
03.04.2018;57.65
02.04.2018;57.6058
30.03.2018;57.2599
29.03.2018;57.4631
28.03.2018;57.7563
27.03.2018;57.2942
26.03.2018;57.3469
23.03.2018;57.0769
22.03.2018;57.1983
21.03.2018;57.2797
20.03.2018;57.4659
19.03.2018;57.9073
16.03.2018;57.63
15.03.2018;57.3955
14.03.2018;57.2854
13.03.2018;56.825
12.03.2018;56.9075
09.03.2018;56.6485
07.03.2018;56.8261
06.03.2018;56.6239
05.03.2018;56.8618
02.03.2018;57.1513
01.03.2018;56.8119
28.02.2018;56.2861
27.02.2018;56.2803
26.02.2018;55.9628
22.02.2018;56.583
21.02.2018;56.6108
20.02.2018;56.547
19.02.2018;56.4214
16.02.2018;56.2398
15.02.2018;56.5381
14.02.2018;57.1396
13.02.2018;57.7868
12.02.2018;57.9817
09.02.2018;58.3693
08.02.2018;57.9528
07.02.2018;57.1622
06.02.2018;57.1994
05.02.2018;56.7556
02.02.2018;56.4783
01.02.2018;56.0946
31.01.2018;56.2555
30.01.2018;56.3449
29.01.2018;56.4134
26.01.2018;56.1947
25.01.2018;55.7395
24.01.2018;56.2361
23.01.2018;56.4146
22.01.2018;56.5818
19.01.2018;56.671
18.01.2018;56.5748
17.01.2018;56.7396
16.01.2018;56.4024
15.01.2018;56.35
12.01.2018;56.5153
11.01.2018;56.6713
10.01.2018;56.9568
09.01.2018;57.035
05.01.2018;57.0035
04.01.2018;57.0176
03.01.2018;57.3287
29.12.2017;57.5708
28.12.2017;57.5758
27.12.2017;57.7488
26.12.2017;57.6968
25.12.2017;57.97
22.12.2017;58.3315
21.12.2017;58.5162
20.12.2017;58.6613
19.12.2017;58.8115
18.12.2017;58.5793
15.12.2017;58.8195
14.12.2017;58.7915
13.12.2017;58.8358
12.12.2017;59.196
11.12.2017;59.1477
08.12.2017;59.2313
07.12.2017;59.1812
06.12.2017;59.1441
05.12.2017;58.7047
04.12.2017;58.8837
01.12.2017;58.5383
30.11.2017;58.4805
29.11.2017;58.456
28.11.2017;58.4021
27.11.2017;58.2472
24.11.2017;58.3845
23.11.2017;58.4182
22.11.2017;58.7085
21.11.2017;59.1775
20.11.2017;59.4583
17.11.2017;59.305
16.11.2017;59.6378
15.11.2017;60.1456
14.11.2017;60.0423
13.11.2017;59.441
10.11.2017;59.0766
09.11.2017;59.2297
08.11.2017;59.2333
07.11.2017;59.2026
03.11.2017;59.0965
02.11.2017;58.3782
01.11.2017;58.2464
31.10.2017;58.4061
30.10.2017;57.88
27.10.2017;58.2598
26.10.2017;57.6605
25.10.2017;57.7423
24.10.2017;57.6302
23.10.2017;57.48
20.10.2017;57.532
19.10.2017;57.3454
18.10.2017;57.4828
17.10.2017;57.4909
16.10.2017;57.2901
13.10.2017;57.1619
12.10.2017;57.6905
11.10.2017;57.8913
10.10.2017;57.93
09.10.2017;58.3143
06.10.2017;58.1515
05.10.2017;57.5031
04.10.2017;57.5416
03.10.2017;57.9024
02.10.2017;57.9343
29.09.2017;57.5643
28.09.2017;57.9813
27.09.2017;58.1749
26.09.2017;57.8795
25.09.2017;57.655
22.09.2017;57.5397
21.09.2017;57.9416
20.09.2017;57.7471
19.09.2017;58.2188
18.09.2017;57.9603
15.09.2017;57.5913
14.09.2017;57.432
13.09.2017;57.8618
12.09.2017;57.6901
11.09.2017;57.151
08.09.2017;57.1953
07.09.2017;57.0117
06.09.2017;57.3454
05.09.2017;57.3485
04.09.2017;57.8012
01.09.2017;57.5609
31.08.2017;58.1331
30.08.2017;58.3583
29.08.2017;58.6953
28.08.2017;58.5726
25.08.2017;58.7906
24.08.2017;59.2115
23.08.2017;59.0434
22.08.2017;59.0198
21.08.2017;59.0169
18.08.2017;59.1735
17.08.2017;59.1481
